id,teacher_id,title,description,level,total_sections,category,estimated_duration,thumbnail_url,created_at
1,2,AI Basics,"This module provides a foundational understanding of Artificial Intelligence (AI) for educators. You will learn what AI is, explore its different types, and discover its practical applications and ethical considerations within the educational landscape. This skill is essential for teachers looking to demystify AI and confidently integrate modern technology into their teaching practices to enhance learning and save time.",beginner,3,AI Literacy,1 hour 45 minutes,https://images.unsplash.com/photo-1531746790731-6c087fecd65a?q=80&w=2070&auto=format&fit=crop,2025-10-10 12:19:09.626266
2,2,Machine Learning,"This module provides a beginner-friendly introduction to the core concepts of Machine Learning (ML). Educators will learn what ML is, how it works, and its practical applications within the classroom. By understanding this powerful technology, teachers can better evaluate and utilise AI-powered educational tools, personalise learning experiences for their students, and prepare for the future of education. This skill is essential for developing AI literacy and leveraging technology to enhance teaching and learning outcomes.",beginner,3,AI Literacy,1 hour 40 minutes,https://images.unsplash.com/photo-1534723328310-e82dad3ee43f?ixlib=rb-4.0.3&q=80&fm=jpg&crop=entropy&cs=tinysrgb,2025-10-10 13:11:52.488122
3,2,Data Analysis,"This module introduces educators to the fundamentals of data analysis in the classroom. You will learn how to collect, organise, and interpret student data to make informed instructional decisions. By understanding the stories hidden within numbers and observations, teachers can better identify student needs, tailor their teaching methods, and ultimately create a more effective and supportive learning environment for every child. This skill is essential for moving from guesswork to evidence-based practice in modern education.",beginner,3,Pedagogy,1 hour 45 minutes,https://images.unsplash.com/photo-1543286386-71314a00d5a2?q=80&w=2070&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,2025-10-10 13:16:06.185897
4,2,Database Management System,"This module introduces educators to the fundamentals of Database Management Systems (DBMS). You will learn what a database is, how a DBMS works to organise and protect information, and why this technology is the backbone of modern school administration. From managing student records and grades to powering library systems and online learning platforms, understanding databases will empower you to use educational technology more effectively and appreciate the importance of data integrity and security in your professional practice.",beginner,4,Digital Skills,1 hour 50 minutes,https://images.unsplash.com/photo-1593642532400-2682810df593?ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D&auto=format&fit=crop&w=1169&q=80,2025-10-10 16:35:40.062947
5,2,Graphics Design,"This module introduces educators to the fundamental principles of graphic design. In today''s digital classroom, the ability to create visually engaging and clear educational materials is essential for capturing student attention and improving learning outcomes. This course will equip you with the foundational knowledge of design principles, colour theory, and typography, and provide practical skills using accessible tools like Canva. By the end of this module, you will be able to design professional-looking worksheets, presentations, and classroom posters that communicate information effectively and inspire your students.",beginner,4,Digital Skills,2 hours,https://images.unsplash.com/photo-1572044162444-24c95621ec50?q=80&w=2070&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,2025-10-10 20:38:26.559375
6,2,Neural Network,"This module introduces educators to the fundamental concepts of Neural Networks, the technology powering many modern Artificial Intelligence tools. You will learn what neural networks are, how they learn from data, and see real-world examples in your daily life and in educational technology. Understanding these basics is crucial for educators to critically evaluate and effectively integrate AI tools into their teaching practice, preparing both teachers and students for a future shaped by AI.",beginner,4,AI Literacy,1 hour 40 minutes,https://images.unsplash.com/photo-1535223289827-42f1e9919769?q=80&w=2787&auto=format&fit=crop,2025-10-10 20:41:33.241827
7,2,Natural Language Processing,"This intermediate module empowers educators to understand and leverage Natural Language Processing (NLP), the branch of Artificial Intelligence that helps computers understand human language. Discover how NLP is transforming education by enabling automated feedback, personalized learning paths, and intelligent content creation. This skill is crucial for teachers who want to innovate their instructional methods, save valuable time on administrative tasks, and equip students with the critical literacy skills needed for an AI-driven world.",intermediate,4,AI Literacy,1 hour 40 minutes,https://images.unsplash.com/photo-1555949963-ff9fe0c870eb?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=MnwzODkyfDB8MXxzZWFyY2h8MTB8fGFpJTIwbGFuZ3VhZ2V8ZW58MHx8fHwxNjE5MjE0MzEw&ixlib=rb-1.2.1&q=80&w=1080,2025-10-10 22:18:24.436256
8,2,Powerpoint Presentation,"This module empowers educators to create dynamic, engaging, and professional presentations using Microsoft PowerPoint. As a teacher, your ability to present information clearly is essential for student success. This course will guide you from the very basics of the PowerPoint interface to building well-structured slides with text, visuals, and charts. You will learn how to design lessons that capture student attention, simplify complex topics, and create valuable learning resources that can be shared and reused. Mastering this skill is fundamental for modern teaching, enabling you to enhance your classroom instruction and professional communications.",beginner,4,Digital Skills,1 hour 40 minutes,https://images.unsplash.com/photo-1543286386-713bdd548da4?q=80&w=2070&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=eyJhcHBfaWQiOjEyMDd9,2025-10-10 22:22:45.806943
9,3,Web Design,"This module introduces educators to the foundational principles and skills of web design. In today''s digital age, a teacher''s ability to create and manage online spaces is invaluable. This skill empowers you to build simple, effective websites for your classroom, share resources, showcase student work, and improve communication with parents and students. By understanding the basics of web design, you can create engaging, accessible, and professional online hubs that extend learning beyond the physical classroom, fostering a more connected and digitally literate educational community.",beginner,3,Digital Skills,1 hour 20 minutes,https://images.unsplash.com/photo-1542831371-29b0f74f9713?q=80&w=2070&auto=format&fit=crop,2025-10-10 22:41:46.473521
10,2,Computer Vision in ML,"This module introduces educators to the fascinating world of Computer Vision, a key field within Machine Learning and Artificial Intelligence. You will learn how we can teach computers to ''see'' and interpret visual information from images and videos, just like humans do. This skill is vital for educators in the 21st century, not just as a technical concept, but as a force shaping our students'' world. Understanding Computer Vision will empower you to lead critical discussions on modern technology, from smartphone apps to future careers, and to envision new, innovative ways to engage learners in the classroom.",beginner,3,AI Literacy,1 hour 15 minutes,https://images.unsplash.com/photo-1599658880436-c61792e70672?ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D&auto=format&fit=crop&w=1470&q=80,2025-10-11 16:25:53.987316
11,2310,Lesson design,"This module elevates your teaching practice from basic lesson planning to the art of strategic lesson design. Aimed at intermediate educators, it moves beyond simply listing activities to crafting cohesive, student-centred learning experiences. You will master the Backward Design model to ensure every part of your lesson has a clear purpose, learn practical differentiation strategies to engage every student in your diverse classroom, and integrate Assessment for Learning techniques to make your teaching responsive and impactful. This skill is crucial for creating lessons that not only cover the curriculum but also foster deep understanding, critical thinking, and a genuine love for learning in all students.",intermediate,3,Pedagogy,1 hour 30 minutes,https://images.unsplash.com/photo-1543269865-cbf427effbad?ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D&auto=format&fit=crop&w=1170&q=80,2025-10-11 22:23:39.101981
12,2311,PowerPoint,"This module introduces educators to the fundamental skills needed to create professional and engaging presentations using Microsoft PowerPoint. You will learn how to build slides from scratch, incorporate text and images, design visually appealing layouts, and present your content with confidence. Mastering these basics is crucial for teachers to develop dynamic lesson materials, deliver clear instructions, and create compelling presentations for students, parents, and professional development sessions.",beginner,4,Digital Skills,1 hour 40 minutes,https://images.unsplash.com/photo-1617791160536-595a7202126a?ixlib=rb-4.0.3&q=85&fm=jpg&crop=entropy&cs=srgb,2025-10-11 22:23:49.669702
13,2311,STEM integration,"This module introduces educators to the fundamentals of STEM integration. You will learn how to move beyond teaching Science, Technology, Engineering, and Mathematics as separate subjects and instead weave them into a cohesive, hands-on learning experience. Discover why this interdisciplinary approach is vital for developing students'' critical thinking, problem-solving, and creativity, preparing them for the challenges and opportunities of the 21st century.",beginner,3,Pedagogy,1 hour 35 minutes,https://images.unsplash.com/photo-1581093450021-4a7360e9a3ea?q=80&w=2070&auto=format&fit=crop,2025-10-11 22:26:07.040579
14,2310,Excel for educators,"Unlock the power of data in your classroom with this beginner''s guide to Microsoft Excel, designed specifically for educators. This course will transform the way you manage student information, track progress, and analyse performance. Learn to move beyond pen and paper to create organised, automated grade books, attendance sheets, and student records. This skill empowers you to make data-informed decisions, save valuable administrative time, and communicate student progress more effectively with clear, visual reports. By the end of this module, you will be confident in using Excel''s essential tools to enhance your teaching and administrative efficiency.",beginner,4,Digital Skills,1 hour 45 minutes,https://images.unsplash.com/photo-1542744173-8e7e53415bb0?q=80&w=2070&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,2025-10-11 22:28:36.29663
15,2311,Excel for educators,"This intermediate module empowers educators to move beyond basic spreadsheets and harness the full potential of Microsoft Excel for classroom management and data analysis. Learn to automate grading, visualize student progress with compelling charts, manage large datasets with ease, and save valuable time by automating repetitive tasks. This skill is crucial for making data-informed instructional decisions, communicating student performance effectively, and streamlining administrative duties, ultimately allowing you to focus more on teaching and less on paperwork.",intermediate,4,Digital Skills,1 hour 40 minutes,https://images.unsplash.com/photo-1543286386-713142e054c2?q=80&w=2070&auto=format&fit=crop,2025-10-11 22:29:34.6323
16,2310,Google Classroom,"This module provides a comprehensive introduction to Google Classroom, a powerful and free tool designed to help educators manage their classes, distribute assignments, communicate with students, and stay organised. In today''s blended learning environments, mastering Google Classroom is essential for creating a streamlined digital workflow. You will learn how to set up your digital classroom from scratch, manage class communication effectively, create and grade various types of assignments, and provide timely feedback to your students. This skill is crucial for saving time on administrative tasks, improving student engagement, and ensuring learning continuity, whether in a physical classroom or a remote setting.",beginner,4,Digital Skills,1 hour 40 minutes,https://images.unsplash.com/photo-1588196749597-9ff075ee6b5b?q=80&w=2574&auto=format&fit=crop,2025-10-11 22:30:08.068608
17,2311,Digital literacy,"This intermediate module on Digital Literacy is designed to empower educators beyond basic computer skills, focusing on the critical, ethical, and pedagogical use of digital technologies. Participants will learn to critically evaluate online information, foster responsible digital citizenship in their students, leverage collaborative tools for engaging projects, and strategically integrate technology to transform learning experiences. In an increasingly connected world, these skills are essential for teachers to prepare learners for future success, ensuring they are not just consumers of digital content, but thoughtful creators and responsible global citizens.",intermediate,4,Digital Skills,1 hour 45 minutes,https://images.unsplash.com/photo-1588458485249-299f2c751a7e?ixlib=rb-4.0.3&q=85&fm=jpg&crop=entropy&cs=srgb&w=1200,2025-10-11 22:31:31.677148
18,2310,Digital literacy,"This module introduces educators to the fundamental principles of digital literacy. Participants will learn to navigate the digital world confidently, evaluate online information critically, create digital content, and communicate effectively using technology. This skill is essential for modern teachers to enhance their teaching methods, engage students in new ways, and prepare learners for a future where technology is central to both work and life.",beginner,3,Digital Skills,1 hour 35 minutes,https://images.unsplash.com/photo-1588451722921-a0680370416c?q=80&w=2070&auto=format&fit=crop,2025-10-11 22:31:33.558852
19,2310,Python for teaching,"This module empowers educators to move beyond basic programming concepts and leverage Python as a powerful tool for classroom innovation and efficiency. You will learn to automate administrative tasks, analyse student performance data to inform your teaching, create custom interactive learning tools, and gather online resources systematically. This skill is essential for the modern educator looking to save time, make data-driven decisions, and provide engaging, personalised learning experiences for their students in the digital age.",intermediate,4,Digital Skills,1 hour 40 minutes,https://images.unsplash.com/photo-1542831371-29b0f74f9713?ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D&auto=format&fit=crop&w=2070&q=80,2025-10-11 22:33:10.632337
20,2311,Python for teaching,"This module empowers educators to move beyond basic programming and leverage Python as a powerful tool for enhancing classroom efficiency and pedagogical practice. You will learn to automate administrative tasks, create custom interactive learning tools, analyze student performance data to inform your teaching, and gather online resources. This skill is crucial for the modern teacher who wants to save time, create more engaging learning experiences, and make data-driven decisions to support every student''s success.",intermediate,4,Digital Skills,1 hour 50 minutes,https://images.unsplash.com/photo-1542744173-8e7e53415bb0?ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D&auto=format&fit=crop&w=1740&q=80,2025-10-11 22:33:25.8656
21,2311,Robotics intro,"This module provides educators with an intermediate-level introduction to the world of robotics. It moves beyond basic concepts to explore the core components, fundamental programming principles, and practical strategies for integrating robotics into the classroom. You will learn how to use robotics not just as a technical subject, but as a powerful tool to enhance problem-solving, critical thinking, and creativity across various subjects. This skill is vital for preparing students for a technology-driven future and for making STEM subjects engaging, tangible, and accessible.",intermediate,3,Digital Skills,1 hour 25 minutes,https://images.unsplash.com/photo-1581292159051-93a027925345?q=80&w=2071&auto=format&fit=crop,2025-10-11 22:36:11.868014
22,2310,Database Management System,"This module provides educators with an intermediate understanding of Database Management Systems (DBMS). Moving beyond basic spreadsheets, you will learn how to design, manage, and query relational databases to efficiently handle educational data. This skill is vital for modern educators who need to manage student information, track academic performance, organize learning resources, and generate insightful reports. Mastering DBMS empowers you to make data-driven decisions that can significantly improve administrative efficiency and educational outcomes in your school.",intermediate,4,Digital Skills,1 hour 40 minutes,https://images.unsplash.com/photo-1558494949-ef010cbdcc31?q=80&w=2070&auto=format&fit=crop,2025-10-11 22:37:48.470993
23,2312,Digital literacy,"This module introduces educators to the fundamental principles of digital literacy. It goes beyond basic computer skills to empower teachers with the ability to find, evaluate, create, and communicate information using digital technologies. In today''s interconnected world, these skills are no longer optional. This course is designed to build your confidence in navigating the digital landscape, enabling you to effectively integrate technology into your teaching practice, model responsible digital citizenship for your students, and prepare them for a future where digital fluency is essential for success.",beginner,4,Digital Skills,2 hours,https://images.unsplash.com/photo-1524178232363-1fb2b075b655?ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D&auto=format&fit=crop&w=1470&q=80,2025-10-11 22:48:20.78848
24,2312,Lesson design,"This module provides a comprehensive introduction to the fundamentals of effective lesson design. Educators will learn how to structure engaging and purposeful lessons by mastering the core components of a lesson plan, from writing clear learning objectives to integrating assessment. This skill is crucial as it forms the foundation of effective teaching, enabling teachers to create structured, student-centered learning experiences that lead to measurable academic growth and increased classroom engagement.",beginner,4,Pedagogy,1 hour 50 minutes,https://images.unsplash.com/photo-1590402494587-44b71d7772f6?ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D&auto=format&fit=crop&w=1770&q=80,2025-10-11 23:01:38.176696
25,2312,PowerPoint Presentation,"Elevate your teaching materials from simple slides to dynamic learning experiences. This intermediate module is designed for educators who are comfortable with the basics of PowerPoint and want to unlock its more powerful features. You will learn to create professionally designed, interactive, and visually engaging presentations that capture student attention and improve information retention. Mastering these skills will not only save you time in lesson preparation but also empower you to build compelling resources for classroom instruction, student-led activities, and professional development sessions.",intermediate,4,Digital Skills,1 hour 45 minutes,https://images.unsplash.com/photo-1598520106830-8c12c7fb1a4a?ixlib=rb-4.0.3&q=85&fm=jpg&crop=entropy&cs=srgb,2025-10-11 23:02:48.567744
26,2312,Excel for educators,"Unlock the power of data in your classroom with this beginner''s guide to Microsoft Excel. This module is designed specifically for educators, showing you how to move beyond manual record-keeping and embrace digital efficiency. You will learn to create and manage digital grade books, track student performance, and organise classroom information with ease. By mastering these foundational skills, you can save valuable time on administrative tasks, gain deeper insights into student progress, and make more informed instructional decisions. This course will empower you to use technology to enhance your teaching practice and create a more organised, data-driven learning environment.",beginner,4,Digital Skills,1 hour 40 minutes,https://images.unsplash.com/photo-1580582932707-520aed937b7b?ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D&auto=format&fit=crop&w=1932&q=80,2025-10-11 23:04:45.967251
27,2314,STEM integration,"This module provides educators with the pedagogical strategies and practical frameworks needed to effectively integrate Science, Technology, Engineering, and Mathematics (STEM) into a cohesive learning experience. Moving beyond teaching these subjects in isolation, you will learn how to design and facilitate authentic, project-based lessons that challenge students to solve real-world problems. Mastering STEM integration is crucial for preparing learners for the 21st-century workforce, fostering essential skills like critical thinking, collaboration, and creativity, and empowering them to become innovators in their own communities.",intermediate,4,Pedagogy,1 hour 40 minutes,https://images.unsplash.com/photo-1517048676732-d65bc937f952?ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D&auto=format&fit=crop&w=1770&q=80,2025-10-11 23:06:02.595239
28,2312,STEM integration,"This module provides educators with the foundational knowledge and practical strategies to move from teaching Science, Technology, Engineering, and Mathematics as separate subjects to implementing a fully integrated STEM approach. You will learn how to design engaging, problem-based lessons that mirror real-world challenges, fostering critical 21st-century skills like problem-solving, creativity, and collaboration in your students. This intermediate-level course focuses on practical application, including using the Engineering Design Process, adapting lessons for low-resource environments, and effectively assessing student learning in a project-based context. Mastering STEM integration is crucial for preparing learners for the future workforce and empowering them to become innovative thinkers and problem-solvers in their own communities.",intermediate,4,Pedagogy,1 hour 40 minutes,https://images.unsplash.com/photo-1617462424462-553a5b6a5b9e?q=80&w=2070&auto=format&fit=crop,2025-10-11 23:06:08.918081
29,2314,PowerPoint Presentation,"Elevate your teaching materials from simple slides to dynamic learning experiences. This intermediate module moves beyond basic text and bullet points, empowering educators to create professionally designed, interactive, and engaging presentations. You will learn to master advanced design features, integrate multimedia effectively, build non-linear and interactive slides for student-led exploration, and utilise powerful delivery tools. These skills are crucial for capturing student attention, explaining complex topics clearly, and creating reusable digital resources for a modern classroom.",intermediate,4,Digital Skills,1 hour 45 minutes,https://images.unsplash.com/photo-1591696205602-2f950c416cb1?ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D&auto=format&fit=crop&w=1170&q=80,2025-10-11 23:06:54.752984
30,2314,Excel for educators,"Elevate your classroom management and data analysis skills with this intermediate Excel course designed specifically for educators. Move beyond basic spreadsheets and learn to automate grade calculations, visualize student progress with advanced charts, and analyze performance trends using PivotTables. This module empowers you to make data-informed instructional decisions, save valuable administrative time, and communicate student performance more effectively to parents and administrators. By mastering these powerful tools, you can transform Excel from a simple record-keeping tool into an indispensable partner in your teaching practice.",intermediate,4,Digital Skills,1 hour 45 minutes,https://images.unsplash.com/photo-1543269865-cbf427effbad?ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D&auto=format&fit=crop&w=1740&q=80,2025-10-11 23:09:44.363534
31,2313,Excel for educators,"This intermediate course empowers educators to move beyond basic spreadsheets and harness Excel''s powerful features for classroom management and data analysis. Learn to automate grading, visualize student performance with dynamic charts, summarize complex data sets with PivotTables, and protect sensitive student information. This skill is essential for any modern educator looking to save time on administrative tasks, make data-informed instructional decisions, and enhance their professional digital literacy.",intermediate,4,Digital Skills,1 hour 40 minutes,https://images.unsplash.com/photo-1589144949989-ab7a69b76229?ixlib=rb-4.0.3&q=85&fm=jpg&crop=entropy&cs=srgb,2025-10-11 23:09:49.429368
32,2313,STEM integration,"This module provides educators with the practical skills and pedagogical understanding needed to effectively integrate Science, Technology, Engineering, and Mathematics (STEM) into their classrooms. Moving beyond teaching these as separate subjects, you will learn to design and facilitate interdisciplinary, problem-based learning experiences. This approach is vital for developing 21st-century skills in students, such as critical thinking, collaboration, and creativity, preparing them to solve complex, real-world challenges relevant to their communities and future careers.",intermediate,3,Pedagogy,1 hour 30 minutes,https://images.unsplash.com/photo-1518152006812-edab29b069ac?q=80&w=2070&auto=format&fit=crop,2025-10-11 23:10:53.400778
34,2313,Lesson design,"Move beyond basic lesson planning to master the art of designing transformative learning experiences. This module introduces intermediate frameworks like Backward Design (UbD) and Universal Design for Learning (UDL) to help you create lessons that are purposeful, engaging, and inclusive for every student in your classroom. By focusing on learning outcomes and student variability, you will learn to build lessons that not only deliver content but also foster critical thinking, deep understanding, and a lifelong love for learning. This skill is essential for any educator looking to increase student achievement and manage a diverse classroom effectively.",intermediate,4,Pedagogy,1 hour 40 minutes,https://images.unsplash.com/photo-1543269865-cbf427effbad?q=80&w=2070&auto=format&fit=crop,2025-10-11 23:11:51.190086
35,2314,Google Classroom,"This intermediate module empowers educators to move beyond the basics of Google Classroom and master its advanced features for efficient workflow management, enhanced student engagement, and streamlined assessment. You will learn to leverage rubrics, add-ons, and differentiation tools to create a more dynamic and responsive digital learning environment. Mastering these skills is crucial for saving valuable time on administrative tasks, providing richer feedback, and fostering a more interactive and organized online classroom for your learners.",intermediate,4,Digital Skills,2 hours 0 minutes,https://images.unsplash.com/photo-1590215185993-16298541c480?ixlib=rb-4.0.3&q=85&fm=jpg&crop=entropy&cs=srgb,2025-10-11 23:12:10.886203
33,2314,Lesson design,"This module provides a comprehensive introduction to the art and science of lesson design. For beginner educators, creating a well-structured lesson is the single most important step towards effective teaching and improved student outcomes. You will learn how to craft clear learning objectives, structure lessons for maximum student understanding using proven models, select engaging activities, and integrate simple assessment techniques to check for comprehension. Mastering these foundational skills will transform your classroom management, boost student engagement, and build your confidence as a professional teacher.",beginner,4,Pedagogy,1 hour 40 minutes,https://images.unsplash.com/photo-1543269865-cbf427effbad?ixlib=rb-4.0.3&q=80&fm=jpg&crop=entropy&cs=tinysrgb&w=1080&fit=max,2025-10-11 23:11:18.09458
36,2313,Google Classroom,"This module provides a comprehensive introduction to Google Classroom, the free and powerful learning management system from Google. Educators will learn how to create and manage digital classrooms, streamline assignment workflows, enhance communication, and provide timely feedback. By mastering Google Classroom, teachers can effectively organize their teaching materials, foster student collaboration, and build a blended learning environment that supports learners both inside and outside the physical classroom. This skill is essential for any modern educator looking to leverage technology to save time and improve student engagement.",beginner,4,Digital Skills,1 hour 45 minutes,https://images.unsplash.com/photo-1588196749597-9ff075a6b24e?q=80&w=2070&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,2025-10-11 23:12:58.185167
38,2313,Digital literacy,"This module elevates educators beyond basic computer use, transforming them into critical, creative, and responsible navigators of the digital world. It focuses on the essential intermediate skills needed to evaluate online information critically, practice and teach safe digital citizenship, leverage collaborative tools for enhanced learning, and create engaging digital content. For educators, these skills are no longer optional; they are fundamental to preparing students for the future, fostering a safe learning environment, and connecting with a global community of professionals.",intermediate,4,Digital Skills,1 hour 40 minutes,https://images.unsplash.com/photo-1542744095-291d1f67b221?ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D&auto=format&fit=crop&w=1170&q=80,2025-10-11 23:16:35.226284
37,2314,Digital literacy,"This module provides educators with the intermediate skills needed to navigate the digital world effectively, ethically, and confidently. It moves beyond basic computer operations to focus on critical evaluation of online information, professional digital communication, fostering a safe online environment for students, and leveraging technology to enhance teaching and learning. In an era where information is abundant and technology is central to modern life, these skills are no longer optional but essential for preparing students to be informed, responsible, and successful digital citizens.",intermediate,4,Digital Skills,2 hours 0 minutes,https://images.unsplash.com/photo-1542744173-8e7e53415bb0?ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D&auto=format&fit=crop&w=1170&q=80,2025-10-11 23:12:59.809081
